Style,Model,mAP,Precision,Recall
post-impressionism,YOLOv11-large,0.17766245565251249,0.36254980079681276,0.2898089171974522
post-impressionism,RF-DETR-large,0.03478433707634727,0.027624309392265192,0.07961783439490445
post-impressionism,GroundingDINO,0.8703512806637806,0.7406143344709898,0.6910828025477707
post-impressionism,OWLv2,0.8575880400177008,0.2983706720977597,0.9331210191082803
baroque,YOLOv11-large,0.17089860823556477,0.2928870292887029,0.22727272727272727
baroque,RF-DETR-large,0.03753641688424297,0.02557200538358008,0.06168831168831169
baroque,GroundingDINO,0.8112565876152833,0.7875457875457875,0.698051948051948
baroque,OWLv2,0.8579345252171339,0.3434466019417476,0.9188311688311688
neoclassicism,YOLOv11-large,0.15005071203841697,0.25316455696202533,0.19933554817275748
neoclassicism,RF-DETR-large,0.03996632928656672,0.03151862464183381,0.07308970099667775
neoclassicism,GroundingDINO,0.7543681326952565,0.8354430379746836,0.6578073089700996
neoclassicism,OWLv2,0.8859619941520211,0.38114754098360654,0.9269102990033222
impressionism,YOLOv11-large,0.1798311184939092,0.31985294117647056,0.2727272727272727
impressionism,RF-DETR-large,0.05097289378503828,0.021897810218978103,0.07523510971786834
impressionism,GroundingDINO,0.8060573551125877,0.7956989247311828,0.6959247648902821
impressionism,OWLv2,0.8983508647898182,0.3491879350348028,0.9435736677115988
chinese_ink_painting,YOLOv11-large,0.2615636753896406,0.4863636363636364,0.33024691358024694
chinese_ink_painting,RF-DETR-large,0.052593005488034486,0.04154727793696275,0.08950617283950617
chinese_ink_painting,GroundingDINO,0.8748564200480491,0.8251748251748252,0.7283950617283951
chinese_ink_painting,OWLv2,0.849101451880223,0.3519163763066202,0.9351851851851852
Overall,YOLOv11-large,0.12014874992348454,0.34782608695652173,0.2707535121328225
Overall,RF-DETR-large,0.04466482516169937,0.043719806763285025,0.11558109833971902
Overall,GroundingDINO,0.871513187517508,0.797514619883041,0.6966794380587484
Overall,OWLv2,0.8199520015348836,0.3421731987796292,0.9310344827586207
